scenario,region,year,tcsi
ssp126,East Coast,2082,0.9514
ssp126,East Coast,2083,0.951
ssp126,East Coast,2084,0.9737
ssp126,East Coast,2085,0.9401
ssp126,East Coast,2086,0.9401
ssp126,East Coast,2087,0.9436
ssp126,East Coast,2088,0.9653
ssp126,East Coast,2089,0.9803
ssp126,East Coast,2090,0.99
ssp126,East Coast,2091,0.9287
ssp126,East Coast,2092,0.966
ssp126,East Coast,2093,0.9634
ssp126,East Coast,2094,0.9639
ssp126,East Coast,2095,0.9632
ssp126,East Coast,2096,0.9308
ssp126,East Coast,2097,0.9647
ssp126,East Coast,2098,0.9632
ssp126,East Coast,2099,0.9531
ssp126,East Coast,2100,0.9613
ssp245,West Coast,2015,0.81
ssp245,West Coast,2016,0.7916
ssp245,West Coast,2017,0.7756
ssp245,West Coast,2018,0.7627
ssp245,West Coast,2019,0.7631
ssp245,West Coast,2020,0.7567
ssp245,West Coast,2021,0.8235
ssp245,West Coast,2022,0.8277
ssp245,West Coast,2023,0.7505
ssp245,West Coast,2024,0.8028
ssp245,West Coast,2025,0.715
ssp245,West Coast,2026,0.7968
ssp245,West Coast,2027,0.7337
ssp245,West Coast,2028,0.7508
ssp245,West Coast,2029,0.8157
ssp245,West Coast,2030,0.852
ssp245,West Coast,2031,0.796
ssp245,West Coast,2032,0.7715
ssp245,West Coast,2033,0.7367
ssp245,West Coast,2034,0.761
ssp245,West Coast,2035,0.8436
ssp245,West Coast,2036,0.7232
ssp245,West Coast,2037,0.8852
ssp245,West Coast,2038,0.8675
ssp245,West Coast,2039,0.7929
ssp245,West Coast,2040,0.8066
ssp245,West Coast,2041,0.8324
ssp245,West Coast,2042,0.8135
ssp245,West Coast,2043,0.8493
ssp245,West Coast,2044,0.7773
ssp245,West Coast,2045,0.7661
ssp245,West Coast,2046,0.844
ssp245,West Coast,2047,0.7805
ssp245,West Coast,2048,0.8149
ssp245,West Coast,2049,0.8949
ssp245,West Coast,2050,0.788
ssp245,West Coast,2051,0.8505
ssp245,West Coast,2052,0.7996
ssp245,West Coast,2053,0.8156
ssp245,West Coast,2054,0.7988
ssp245,West Coast,2055,0.7829
ssp245,West Coast,2056,0.8099
ssp245,West Coast,2057,0.7116
ssp245,West Coast,2058,0.8761
ssp245,West Coast,2059,0.8296
ssp245,West Coast,2060,0.8394
ssp245,West Coast,2061,0.8258
ssp245,West Coast,2062,0.8319
ssp245,West Coast,2063,0.8723
ssp245,West Coast,2064,0.7837
ssp245,West Coast,2065,0.8732
